"Total Registered Voters by Status
as of 00:17 on 11/01/2024"         ,            ,            ,              ,         ,             ,                           ,          ,          ,              ,         ,               ,                      ,         ,         ,              ,    ,             ,            ,            , , , , , , , , , ,
Active Registered Voters           ,            ,            ,              ,         ,             ,Inactive Registered Voters ,          ,          ,              ,         ,               ,Pre-registered Voters ,         ,         ,              ,    ,             ,Total       ,            , , , , , , , , , ,
County                             ,Female      ,Male        ,Not Disclosed ,X        ,Active Total ,County                     ,Female    ,Male      ,Not Disclosed ,X        ,Inactive Total ,County                ,Female   ,Male     ,Not Disclosed ,X   ,Prereg Total ,County      ,Grand Total , , , , , , , , , ,
Park                               ,"6,896"     ,"7,929"     ,50            ,20       ,"14,895"     ,Park                       ,958       ,"1,210"   ,0             ,9        ,"2,177"        ,Park                  ,50       ,81       ,0             ,0   ,131          ,Park        ,"17,203"    , , , , , , , , , ,
Phillips                           ,"1,471"     ,"1,386"     ,7             ,4        ,"2,868"      ,Phillips                   ,145       ,142       ,0             ,0        ,287            ,Phillips              ,17       ,19       ,0             ,0   ,36           ,Phillips    ,"3,191"     , , , , , , , , , ,
Pitkin                             ,"6,713"     ,"7,027"     ,62            ,45       ,"13,847"     ,Pitkin                     ,705       ,927       ,1             ,39       ,"1,672"        ,Pitkin                ,67       ,93       ,1             ,0   ,161          ,Pitkin      ,"15,680"    , , , , , , , , , ,
Prowers                            ,"3,622"     ,"3,471"     ,27            ,15       ,"7,135"      ,Prowers                    ,409       ,408       ,0             ,6        ,823            ,Prowers               ,38       ,49       ,1             ,0   ,88           ,Prowers     ,"8,046"     , , , , , , , , , ,
Pueblo                             ,"58,902"    ,"55,849"    ,226           ,316      ,"115,293"    ,Pueblo                     ,"6,110"   ,"6,251"   ,4             ,175      ,"12,540"       ,Pueblo                ,942      ,982      ,3             ,0   ,"1,927"      ,Pueblo      ,"129,760"   , , , , , , , , , ,
Rio Blanco                         ,"2,218"     ,"2,231"     ,5             ,5        ,"4,459"      ,Rio Blanco                 ,342       ,355       ,1             ,1        ,699            ,Rio Blanco            ,46       ,55       ,0             ,0   ,101          ,Rio Blanco  ,"5,259"     , , , , , , , , , ,
Rio Grande                         ,"4,096"     ,"4,014"     ,13            ,9        ,"8,132"      ,Rio Grande                 ,693       ,710       ,0             ,5        ,"1,408"        ,Rio Grande            ,65       ,73       ,0             ,0   ,138          ,Rio Grande  ,"9,678"     , , , , , , , , , ,
Routt                              ,"9,481"     ,"10,233"    ,89            ,90       ,"19,893"     ,Routt                      ,"1,158"   ,"1,515"   ,4             ,60       ,"2,737"        ,Routt                 ,162      ,149      ,2             ,1   ,314          ,Routt       ,"22,944"    , , , , , , , , , ,
Saguache                           ,"2,204"     ,"2,361"     ,23            ,26       ,"4,614"      ,Saguache                   ,256       ,339       ,0             ,21       ,616            ,Saguache              ,34       ,27       ,0             ,0   ,61           ,Saguache    ,"5,291"     , , , , , , , , , ,
San Juan                           ,342         ,387         ,0             ,1        ,730          ,San Juan                   ,43        ,51        ,0             ,0        ,94             ,San Juan              ,5        ,3        ,0             ,0   ,8            ,San Juan    ,832         , , , , , , , , , ,
San Miguel                         ,"2,862"     ,"3,196"     ,15            ,39       ,"6,112"      ,San Miguel                 ,304       ,364       ,0             ,21       ,689            ,San Miguel            ,52       ,58       ,0             ,1   ,111          ,San Miguel  ,"6,912"     , , , , , , , , , ,
Sedgwick                           ,835         ,843         ,7             ,2        ,"1,687"      ,Sedgwick                   ,111       ,116       ,0             ,3        ,230            ,Sedgwick              ,16       ,12       ,0             ,0   ,28           ,Sedgwick    ,"1,945"     , , , , , , , , , ,
Summit                             ,"9,797"     ,"11,846"    ,70            ,32       ,"21,745"     ,Summit                     ,"1,459"   ,"2,293"   ,0             ,6        ,"3,758"        ,Summit                ,118      ,137      ,0             ,0   ,255          ,Summit      ,"25,758"    , , , , , , , , , ,
Teller                             ,"9,714"     ,"9,775"     ,106           ,48       ,"19,643"     ,Teller                     ,"1,522"   ,"1,582"   ,4             ,48       ,"3,156"        ,Teller                ,119      ,122      ,2             ,6   ,249          ,Teller      ,"23,048"    , , , , , , , , , ,
Washington                         ,"1,586"     ,"1,722"     ,3             ,6        ,"3,317"      ,Washington                 ,166       ,159       ,1             ,8        ,334            ,Washington            ,22       ,26       ,0             ,0   ,48           ,Washington  ,"3,699"     , , , , , , , , , ,
Weld                               ,"116,441"   ,"112,818"   ,771           ,602      ,"230,632"    ,Weld                       ,"12,136"  ,"13,451"  ,9             ,217      ,"25,813"       ,Weld                  ,"2,247"  ,"2,510"  ,13            ,5   ,"4,775"      ,Weld        ,"261,220"   , , , , , , , , , ,
Yuma                               ,"2,960"     ,"2,857"     ,11            ,13       ,"5,841"      ,Yuma                       ,240       ,250       ,0             ,6        ,496            ,Yuma                  ,79       ,78       ,0             ,0   ,157          ,Yuma        ,"6,494"     , , , , , , , , , ,
Total                              ,"2,028,014" ,"1,958,250" ,"15,746"      ,"16,907" ,"4,018,917"  ,Total                      ,"252,087" ,"273,039" ,276           ,"11,277" ,"536,679"      ,Total                 ,"32,102" ,"34,314" ,449           ,189 ,"67,054"     ,Total       ,"4,622,650" , , , , , , , , , ,
end of worksheet                   ,            ,            ,              ,         ,             ,                           ,          ,          ,              ,         ,               ,                      ,         ,         ,              ,    ,             ,            ,            , , , , , , , , , ,
