"Total Registered Voters by Party & Status 
as of 00:17 on 11/01/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active registered voters,,,,,,,,,,,,,Inactive registered voters,,,,,,,,,,,,,Pre-registered voters,,,,,,,,,,,,,All,
County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Active Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Inactive Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Prereg Total,County,Grand Total
Park,60,4,6,"2,442",0,48,214,63,"4,709","7,337",12,"14,895",Park,17,2,0,261,0,6,38,2,728,"1,123",0,"2,177",Park,1,0,0,5,0,0,0,1,22,102,0,131,Park,"17,203"
Phillips,7,1,0,277,0,2,17,10,"1,504","1,050",0,"2,868",Phillips,1,0,0,36,0,0,1,0,99,150,0,287,Phillips,0,0,0,0,0,0,0,0,10,26,0,36,Phillips,"3,191"
Pitkin,17,5,11,"4,597",1,59,127,66,"1,737","7,219",8,"13,847",Pitkin,9,1,0,496,0,4,26,2,241,892,1,"1,672",Pitkin,0,0,1,22,0,0,0,4,14,119,1,161,Pitkin,"15,680"
Prowers,38,23,1,"1,056",1,6,31,37,"2,926","3,006",10,"7,135",Prowers,5,3,0,119,0,3,7,2,233,447,4,823,Prowers,0,0,0,1,0,0,0,0,3,84,0,88,Prowers,"8,046"
Pueblo,523,210,50,"35,652",3,250,951,658,"26,936","49,938",122,"115,293",Pueblo,81,21,1,"2,868",0,34,148,14,"2,499","6,846",28,"12,540",Pueblo,2,0,0,72,0,2,4,23,142,"1,682",0,"1,927",Pueblo,"129,760"
Rio Blanco,10,0,1,209,0,5,24,19,"2,604","1,585",2,"4,459",Rio Blanco,4,0,0,48,0,0,12,0,320,315,0,699,Rio Blanco,0,0,0,0,0,0,0,0,29,72,0,101,Rio Blanco,"5,259"
Rio Grande,40,12,1,"1,790",0,18,44,26,"2,714","3,475",12,"8,132",Rio Grande,5,3,0,283,0,4,12,0,463,638,0,"1,408",Rio Grande,0,0,0,0,0,0,0,0,11,127,0,138,Rio Grande,"9,678"
Routt,48,9,25,"5,209",0,62,170,94,"3,859","10,407",10,"19,893",Routt,10,1,1,603,0,16,37,4,576,"1,487",2,"2,737",Routt,0,0,0,25,0,0,0,4,16,269,0,314,Routt,"22,944"
Saguache,19,7,4,"1,457",0,19,42,29,880,"2,152",5,"4,614",Saguache,2,2,0,148,0,3,12,0,101,348,0,616,Saguache,0,0,0,1,0,0,0,0,2,58,0,61,Saguache,"5,291"
San Juan,5,0,0,174,0,2,12,4,97,435,1,730,San Juan,2,0,0,20,0,1,4,0,22,45,0,94,San Juan,0,0,0,0,0,0,0,0,1,7,0,8,San Juan,832
San Miguel,14,8,4,"2,116",0,41,67,23,753,"3,081",5,"6,112",San Miguel,3,0,0,204,0,8,9,0,99,366,0,689,San Miguel,0,0,0,13,0,0,0,2,1,95,0,111,San Miguel,"6,912"
Sedgwick,8,0,0,210,0,2,6,6,849,605,1,"1,687",Sedgwick,3,0,0,26,0,1,3,2,84,111,0,230,Sedgwick,0,0,0,0,0,0,0,0,5,23,0,28,Sedgwick,"1,945"
Summit,36,13,24,"6,055",4,67,254,105,"3,287","11,889",11,"21,745",Summit,8,2,2,900,0,15,62,0,557,"2,209",3,"3,758",Summit,0,0,0,23,0,0,0,4,15,213,0,255,Summit,"25,758"
Teller,79,10,5,"2,365",1,42,277,125,"7,902","8,826",11,"19,643",Teller,22,4,0,322,0,12,36,1,"1,279","1,477",3,"3,156",Teller,2,0,0,3,0,0,0,3,42,199,0,249,Teller,"23,048"
Washington,14,2,1,195,0,2,15,6,"2,134",947,1,"3,317",Washington,3,0,0,24,0,1,5,0,132,169,0,334,Washington,0,0,0,0,0,0,0,0,22,26,0,48,Washington,"3,699"
Weld,941,360,141,"42,146",9,379,"2,269","1,327","71,752","111,090",218,"230,632",Weld,150,39,1,"3,922",0,48,321,16,"7,538","13,745",33,"25,813",Weld,7,2,1,176,0,2,6,56,557,"3,967",1,"4,775",Weld,"261,220"
Yuma,21,3,3,519,0,3,35,12,"2,974","2,267",4,"5,841",Yuma,4,1,0,42,0,0,5,0,184,259,1,496,Yuma,0,0,0,1,0,0,0,0,36,120,0,157,Yuma,"6,494"
Total,"11,746","4,990","3,200","1,046,870",248,"8,741","37,756","20,925","936,583","1,944,645","3,213","4,018,917",Total,"2,342",710,97,"121,081",1,"1,753","7,296",280,"108,597","293,825",697,"536,679",Total,91,35,51,"4,081",2,68,131,"1,060","6,348","55,172",15,"67,054",Total,"4,622,650"
end of worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
